id_transaccion,fecha_hora,activo,precio_usd,volumen_24h,market_cap,nivel_impacto,tipo_evento,procedencia,es_outlier,outlier_precio_usd,outlier_volumen_24h,outlier_market_cap,outlier_nivel_impacto,precio_usd_norm,volumen_24h_norm,market_cap_norm,nivel_impacto_norm
0,2026-04-29 00:30:40.758967,btc,29952.983436986,31029997564.0,504329388.4214754,6,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.6022246585028177,0.004564542710283561,0.5555555555555556
1,2026-04-29 00:30:40.758967,eth,29952.983436986,12256978209.0,504329388.4214754,6,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.2378755438082078,0.004564542710283561,0.5555555555555556
2,2026-04-29 00:30:40.758967,usdt,29952.983436986,51525296945.0,504329388.4214754,6,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,1.0,0.004564542710283561,0.5555555555555556
3,2026-04-29 00:30:40.758967,xrp,29952.983436986,1919092580.0,88353800992.0,3,precio,CoinGecko,True,False,True,True,False,0.48954424198963925,0.03723656264521837,1.0,0.2222222222222222
4,2026-04-29 00:30:40.758967,bnb,29952.983436986,792047761.0,504329388.4214754,3,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.015362735411645114,0.004564542710283561,0.2222222222222222
5,2026-04-29 00:30:40.758967,usdc,29952.983436986,11589157097.0,504329388.4214754,5,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.224914387889154,0.004564542710283561,0.4444444444444444
6,2026-04-29 00:30:40.758967,sol,29952.983436986,2694273473.0,504329388.4214754,8,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.052281370662075985,0.004564542710283561,0.7777777777777778
7,2026-04-29 00:30:40.758967,trx,29952.983436986,599991715.0,504329388.4214754,2,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.011635287577676411,0.004564542710283561,0.1111111111111111
8,2026-04-29 00:30:40.758967,figr_heloc,29952.983436986,25615822.0,504329388.4214754,7,precio,CoinGecko,False,False,False,False,False,0.48954424198963925,0.0004877281915652913,0.004564542710283561,0.6666666666666666
9,2026-04-29 00:30:40.758967,doge,29952.983436986,1436451035.0,504329388.4214754,10,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.02786939499305522,0.004564542710283561,1.0
10,2026-04-29 00:30:40.758967,wbt,29952.983436986,81086481.0,504329388.4214754,9,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.0015643097001649556,0.004564542710283561,0.8888888888888888
11,2026-04-29 00:30:40.758967,usds,29952.983436986,44486666.0,504329388.4214754,9,precio,CoinGecko,False,False,False,False,False,0.48954424198963925,0.0008539758992420456,0.004564542710283561,0.8888888888888888
12,2026-04-29 00:30:40.758967,hype,29952.983436986,175138532.0,504329388.4214754,2,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.0033896837046899888,0.004564542710283561,0.1111111111111111
13,2026-04-29 00:30:40.758967,leo,29952.983436986,485719.0,504329388.4214754,10,precio,CoinGecko,False,False,False,False,False,0.48954424198963925,0.0,0.004564542710283561,1.0
14,2026-04-29 00:30:40.758967,ada,29952.983436986,283142871.0,504329388.4214754,10,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.005485845465016823,0.004564542710283561,1.0
15,2026-04-29 00:30:40.758967,bch,29952.983436986,131600467.0,504329388.4214754,1,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.002544691477371935,0.004564542710283561,0.0
16,2026-04-29 00:30:40.758967,link,29952.983436986,192850463.0,504329388.4214754,1,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.0037334390834784965,0.004564542710283561,0.0
17,2026-04-29 00:30:40.758967,xmr,29952.983436986,110069871.0,6794827486.0,1,precio,CoinGecko,True,False,True,True,False,0.48954424198963925,0.002126822969216481,0.07584311429463556,0.0
18,2026-04-29 00:30:40.758967,zec,29952.983436986,550906211.0,504329388.4214754,2,precio,CoinGecko,True,False,True,False,False,0.48954424198963925,0.010682629958326787,0.004564542710283561,0.1111111111111111
19,2026-04-29 00:30:40.758967,cc,29952.983436986,7458968.0,504329388.4214754,8,precio,CoinGecko,False,False,False,False,False,0.48954424198963925,0.00013533769137772639,0.004564542710283561,0.7777777777777778
0,2026-04-17 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,1,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.0
1,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,6,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.5555555555555556
2,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,6,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.5555555555555556
3,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,9,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.8888888888888888
4,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,10,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,1.0
5,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,9,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.8888888888888888
6,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,1,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.0
7,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,4,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.3333333333333333
8,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,5,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.4444444444444444
9,2026-04-16 00:00:00.000000,BTC,29952.983436986,27368404.630848877,504329388.4214754,4,noticia,  CoinTelegraph  ,False,False,False,False,False,0.48954424198963925,0.000521742535124196,0.004564542710283561,0.3333333333333333
SYN-0,2026-04-29 00:30:40.738373,BTC,14275.72464982636,32452122.323840987,538172868.1647666,6,Sintetico,Generado,False,False,False,False,False,0.22285863442627724,0.0006204079658560763,0.004948028223851134,0.5555555555555556
SYN-1,2026-04-29 00:30:40.738677,BTC,53433.23322186341,40711495.140522815,893593787.1322871,9,Sintetico,Generado,False,False,False,False,False,0.8889664091320388,0.0007807069096106544,0.008975355634530212,0.8888888888888888
SYN-2,2026-04-29 00:30:40.738682,ETH,45556.63144080821,32144797.174614407,247323019.9009247,1,Sintetico,Generado,False,False,False,False,False,0.7549776576523587,0.0006144433608063154,0.0016523652400641214,0.0
SYN-3,2026-04-29 00:30:40.738688,ETH,3873.8280995922496,11968707.009068184,235598490.70650733,7,Sintetico,Generado,False,False,False,False,False,0.04591213255552422,0.00022286327180707336,0.0015195128521429161,0.6666666666666666
SYN-4,2026-04-29 00:30:40.738689,BTC,45680.45833056985,43691953.89470705,276958241.79031324,1,Sintetico,Generado,False,False,False,False,False,0.7570840749653018,0.0008385520270068392,0.0019881663566202286,0.0
SYN-5,2026-04-29 00:30:40.738690,SOL,59706.23896210554,19039630.216152918,563296781.7430046,4,Sintetico,Generado,False,False,False,False,False,0.9956764130808875,0.00036009663644901243,0.005232711033493007,0.3333333333333333
